n,r2,rmse,mae,rpd,rpiq,slope,intercept,Category,Moisture_Range
658,0.8436424676142813,0.3924187425359251,0.20780229513677814,2.5308759454650644,2.3444344020234347,0.7621759508028978,0.5069004278495477,All,All
318,0.8171263844956606,0.4596339361621928,0.22223640534591196,2.342116012606322,2.197400845623369,0.7094730042502112,0.5967170191742035,Dry,0-10%
219,0.8705446404337545,0.33255618264820613,0.20816004337899546,2.785696464223759,2.976940594267254,0.8445196314300348,0.34415748399501345,Moist,10-30%
121,0.8926233543297912,0.28640398487729013,0.1692205272727273,3.064411938783695,3.7359815383100967,0.8016446430624968,0.4462687502389171,Wet,>30%
