filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type,Mahalanobis_Distance
461.jpg,461,130.3145528,110.7376834,70.15172592,130.0,111.0,70,20.21193399,122.1332111,130.3145528,20,118,130.0,0.439104002,0.439817647,910.6934257,0.011976279,0.041279521,13.13228622,1.381867697,0.74849914,1.967106724,1.292882429,47.65887854,1.805020743,25.42091463,47.65887854,15.08321526,29.35844115,0.160207941,0.165273408,0.081640485,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/461.jpg,461,1.59,0.0,1,4.4125123430459725
415.jpg,415,152.8766342,134.5566606,101.4299267,157.0,138.0,104,19.15634965,106.1569675,152.8766342,19,86,157.0,0.533573402,0.547165882,4572.554032,0.005747608,0.023058701,15.11409652,1.636067392,0.329336906,2.173328584,1.005928474,56.99125287,1.789575117,20.39695006,56.99125287,13.58744699,25.76788594,0.240861193,0.249137147,0.159591703,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/415.jpg,415,1.27,13.6,1,4.237621807774915
136.jpg,136,151.5737006,126.3138951,77.97612404,152.0,127.0,79,19.80871333,130.7357302,151.5737006,20,123,152.0,0.502731178,0.505330588,1521.290299,0.009121462,0.03274847,13.91683637,2.004377501,0.737041264,2.046535195,2.071200376,54.22518087,3.110723618,29.83606423,54.22518087,19.56225034,34.93713468,0.217452369,0.22187309,0.103383709,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/136.jpg,136,1.48,19.86,1,3.6600001009512293
19.jpg,19,167.9445552,146.2863321,109.7208626,174.0,151.0,114,18.82340163,98.25243144,167.944615,19,88,174.0,0.581381703,0.601978039,1650.766496,0.007386861,0.037034581,14.45816692,1.768390088,0.427462244,2.192532467,1.393296657,61.72815405,2.572253607,22.38156081,61.72815405,16.02175846,28.54217676,0.292593231,0.300857674,0.189339846,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/19.jpg,19,1.31,34.31,1,5.727775828822181
302.jpg,302,102.2869699,88.95990115,62.81437341,103.0,90.0,63,20.07932079,104.7202049,102.2869699,20,98,103.0,0.352575728,0.355284314,739.621837,0.012759351,0.049130671,13.01188223,1.575333357,0.205317294,2.023972057,0.430415706,38.44035904,1.175424153,17.15118324,38.44035904,9.799839505,19.37146696,0.099732659,0.103368681,0.061440055,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/302.jpg,302,2.29,29.46,2,5.351192860010583
272.jpg,272,133.9261998,114.8788664,75.26267538,133.0,113.0,74,20.24455915,120.1455676,133.9261998,20,114,133.0,0.455176852,0.449878039,1834.352598,0.009066363,0.031948215,13.96560159,1.567827825,0.554796011,1.965411094,1.340630666,49.26303406,1.595295721,24.65746105,49.26303406,14.63347993,29.01294245,0.17216071,0.178085194,0.09232472,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/272.jpg,272,2.29,0.0,2,3.958870521280676
35.jpg,35,148.82954,134.8623844,98.13723693,150.0,136.0,99,21.81734295,88.8082948,148.82954,22,86,150.0,0.530127537,0.534806275,636.5201393,0.013929442,0.050198422,12.74096371,2.082170118,0.521455838,1.762350224,2.347138528,56.63265881,-0.506504824,21.70339217,56.63265881,10.90890282,27.6287869,0.232193838,0.245483247,0.151011479,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/35.jpg,35,1.49,0.0,1,6.3785285930196105
243.jpg,243,177.3977997,149.3973214,98.29528061,186.0,157.0,105,19.37191087,123.8240195,177.3977997,19,112,186.0,0.594756729,0.626032157,1991.451814,0.007674701,0.034809524,14.42418182,1.669703739,0.491511695,2.10502381,1.862210032,63.26322014,3.452033225,30.82033268,63.26322014,21.466053,37.8626102,0.312519983,0.319037085,0.161370597,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/243.jpg,243,1.92,8.89,2,5.2569372160025525
599.jpg,599,119.6488361,105.2607023,78.12442203,121.0,106.0,79,19.79402503,94.28142937,119.6488361,20,88,121.0,0.417104529,0.42101,1099.841448,0.010637545,0.037334966,13.47900394,1.532901185,0.420264069,2.066279849,0.875202107,45.18818763,1.287137262,17.3666363,45.18818763,10.60771012,20.7579812,0.141550104,0.14676713,0.093163315,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/599.jpg,599,2.51,1.66,2,3.72184568731567
127.jpg,127,146.7417092,126.766183,86.77975526,149.0,128.0,88,19.94658801,117.5979751,146.7417092,20,104,149.0,0.502462592,0.509036863,2356.819787,0.006831219,0.02710202,14.63280204,1.722300305,0.447143738,2.011220242,1.435159221,54.00902139,1.73762534,24.57517204,54.00902139,15.24824389,29.86435729,0.212572593,0.219830553,0.12090588,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/127.jpg,127,6.72,1.03,1,5.39434844117298
