Metric,Weight,Mean,Std,CI_Lower,CI_Upper
RPD,0.35,2.3513591945489396,0.2334861508982781,1.9593829121528565,2.8833966083518905
RPIQ,0.25,2.087048352084167,0.3350126457995487,1.5138110164734095,2.8255895480851017
RMSE,0.2,0.4690884385472358,0.06227835817087234,0.35036014152462475,0.5900048088256828
R²,0.15,0.8139175206495036,0.03577494821257061,0.739527804564032,0.8797206054151356
MAE,0.05,0.2895020380170115,0.0266634865658737,0.24056467397321904,0.3446931247069751
Composite,1.0,1.0266212518595503,0.09937817850898956,0.8648866319885123,1.249857902504272
