Rank,Model,Composite,RPD,RPIQ,RMSE,R²,MAE
1,LightGBM,0.6439049608586018,2.3408064339298127,1.9386371497240027,0.4745601827195858,0.8174974256014783,0.2899607814508041
2,XGBoost,0.6378612545572837,2.2947644824816,1.9005055741142056,0.4840817162184839,0.8101005262699712,0.19276573442565606
3,CatBoost,0.6321242541446771,2.2666346750968693,1.877208692825706,0.4900893563491608,0.8053578275069223,0.2130624687611149
4,WeightedEnsemble_L2,0.6225850662551057,2.2122684286758396,1.8321830027578965,0.5021332468509795,0.7956736594711523,0.18550332647894843
5,NeuralNetTorch,0.6060021305276371,2.1264528931672544,1.761111263228753,0.5223974312181204,0.7788492241371651,0.18878368300229764
6,ExtraTreesMSE,0.5928732579258785,2.068783884633487,1.7133502520187747,0.5369596782187408,0.7663478664714878,0.25943739518296294
7,LightGBMLarge,0.5749774829588935,1.9786912618477142,1.6387362630460292,0.5614082148215442,0.744586453023971,0.24504661458397883
8,RandomForestMSE,0.5641144184320621,1.929387304377605,1.597903120162233,0.5757545550737728,0.7313658835910106,0.2682137096956902
9,LightGBMXT,0.5562216300061532,1.902135439854425,1.5753333441234736,0.5840033815267803,0.7236133095670403,0.35260853084815935
