model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.948391839828778,0.6026548802052873,composite_score,0.029420137405395508,0.0060579776763916016,19.31899070739746,0.0012459754943847656,0.0004930496215820312,0.06438875198364258,2,True,9
NeuralNetTorch,0.9331616811546806,0.6014082412933971,composite_score,0.01777815818786621,0.0029320716857910156,7.918170928955078,0.01777815818786621,0.0029320716857910156,7.918170928955078,1,True,7
CatBoost,0.894061843485843,0.5051793417650486,composite_score,0.01631903648376465,0.008168935775756836,18.7516610622406,0.01631903648376465,0.008168935775756836,18.7516610622406,1,True,4
LightGBMLarge,0.8831227174654609,0.4968889354975619,composite_score,0.010396003723144531,0.0026328563690185547,11.33643102645874,0.010396003723144531,0.0026328563690185547,11.33643102645874,1,True,8
XGBoost,0.8115399194023073,0.4413997695479367,composite_score,0.006376981735229492,0.001750946044921875,1.1750240325927734,0.006376981735229492,0.001750946044921875,1.1750240325927734,1,True,6
ExtraTreesMSE,0.7429138803417364,0.4874385712164009,composite_score,0.03409600257873535,0.026012897491455078,0.22290706634521484,0.03409600257873535,0.026012897491455078,0.22290706634521484,1,True,5
LightGBM,0.7361052795848982,0.4323109621828256,composite_score,0.0034580230712890625,0.00096893310546875,1.7185258865356445,0.0034580230712890625,0.00096893310546875,1.7185258865356445,1,True,2
RandomForestMSE,0.731020290226558,0.47522581857456525,composite_score,0.03542184829711914,0.0258791446685791,0.1768786907196045,0.03542184829711914,0.0258791446685791,0.1768786907196045,1,True,3
LightGBMXT,0.625383239439299,0.46084234186983547,composite_score,0.003750324249267578,0.0006568431854248047,1.8194270133972168,0.003750324249267578,0.0006568431854248047,1.8194270133972168,1,True,1
