image_no,soc,entropy,median_h,mean_s,lab_b,luv_u,CI,luv_v,median_s,median_r,SI,median_v,mean_r,moisture,soil_type
351,2.29,14.09314938,19,114.4323182,24.63171768,16.66088243,0.645978788,29.60283229,106,148.0,1.739468364,148.0,146.5820313,32.6,2
719,2.51,13.28854909,17,126.7069914,17.19799178,12.63384709,0.234512224,17.75126353,119,91.0,0.490317748,91.0,92.17711655,21.72,2
338,1.92,14.22572732,21,129.7888831,30.93206566,19.1068175,0.628620645,36.87443851,121,161.0,2.255259935,161.0,158.6486169,7.87,2
68,2.12,14.44186811,20,124.2060746,26.17796897,15.87113249,0.465187205,31.27867139,111,146.0,1.561901953,146.0,144.3299187,12.83,1
386,2.66,15.04586279,17,92.4517897,14.78791122,12.32846688,0.311212621,18.62557607,73,146.0,0.745199553,146.0,143.8310547,19.2,1
462,1.59,13.05303652,20,115.3394053,24.56707119,15.29215544,0.795432096,28.88343034,111,136.0,1.570111162,136.0,135.2559391,0.0,1
420,2.51,15.07280825,18,97.53854432,17.7117501,13.26748063,0.322064198,22.47752944,79,158.0,0.898362932,158.0,151.7302097,19.4,2
88,1.48,13.75343567,21,114.471321,28.52628432,15.59406153,0.556322348,35.08350255,109,160.0,2.130419545,160.0,158.2756696,5.1,1
527,2.07,14.34118223,17,118.4595823,20.2068468,16.36100661,0.640419029,23.34802136,103,133.0,1.422930809,133.0,128.4497967,61.42,1
165,2.12,14.40861759,21,120.8833705,27.5318751,16.28569429,0.493447542,33.47547111,110,157.0,1.71317914,157.0,153.931262,5.03,1
334,2.29,13.88559387,20,110.9093391,26.81682487,16.28726037,0.63569419,33.01614686,105,159.0,2.020011044,159.0,158.0199298,4.3,2
449,1.75,13.95974459,19,114.6191606,24.32791728,16.22305051,0.654163538,28.98503709,110,140.0,1.523343521,140.0,141.8910236,0.0,1
597,2.51,13.39559369,18,99.40736607,16.54818031,11.59066026,0.370450382,19.11360286,93,113.0,0.715128032,113.0,112.3361169,1.66,2
724,2.51,14.26156898,19,63.38382892,11.76111594,7.388696362,0.307696106,15.11910901,57,130.0,0.772011597,130.0,130.4821429,21.72,2
147,2.2,14.35952676,20,127.8907844,28.25565804,17.84568451,0.593602456,33.57641873,117,153.0,1.85292807,153.0,150.3342235,4.12,1
693,2.05,14.48996506,17,94.86393893,17.63068807,15.29999709,0.530697806,21.67466564,83,151.0,1.271678084,151.0,145.3941127,27.75,1
132,3.11,14.24071496,20,117.2641901,27.27597767,17.04010632,0.543357615,33.34131666,107,161.0,1.869011999,161.0,157.7781808,0.98,1
379,1.75,15.02710668,19,124.6738481,24.47174484,17.98767412,0.422837842,29.75752366,106,160.0,1.2558608,160.0,154.715342,22.3,1
